37216,0.06,-0.14,-0.16,0.09,-20.58,6.04,b
37220,0.07,-0.14,-0.16,0.37,-20.41,6.50,b
37224,0.06,-0.14,-0.16,0.91,-20.22,5.98,b
37228,0.03,-0.14,-0.15,0.74,-19.61,4.26,b
37232,0.02,-0.14,-0.15,0.88,-17.55,3.88,b
37236,0.03,-0.15,-0.15,1.02,-14.50,4.38,b
37239,0.04,-0.14,-0.15,1.24,-11.74,4.40,b
37243,0.04,-0.14,-0.15,1.36,-9.13,4.49,b
37248,0.04,-0.14,-0.15,1.35,-6.89,4.72,b
37252,0.04,-0.14,-0.15,0.99,-4.93,5.04,b
37256,0.05,-0.14,-0.16,0.78,-3.28,6.04,b
37260,0.08,-0.13,-0.16,0.47,-2.11,7.43,b
37263,0.08,-0.14,-0.16,0.51,-2.16,7.12,b
37267,0.07,-0.13,-0.16,0.59,-2.37,6.12,b
37271,0.07,-0.13,-0.16,0.37,-2.99,5.24,b
37275,0.07,-0.14,-0.16,-0.11,-3.80,3.65,b
37279,0.07,-0.14,-0.16,-0.48,-4.14,2.35,b
37283,0.08,-0.14,-0.16,-0.84,-4.43,2.40,b
37286,0.09,-0.13,-0.16,-1.43,-4.84,3.69,b
37291,0.12,-0.12,-0.17,-1.26,-5.95,5.39,b
37295,0.10,-0.12,-0.17,-1.04,-8.01,4.25,b
37299,0.09,-0.13,-0.16,-1.32,-9.80,3.19,b
37303,0.07,-0.14,-0.17,-1.58,-11.40,2.22,b
37307,0.07,-0.14,-0.16,-2.01,-11.80,3.02,b
37311,0.07,-0.15,-0.17,-1.63,-12.77,2.18,b
37315,0.07,-0.14,-0.16,-1.20,-13.24,1.55,b
37318,0.07,-0.14,-0.16,-1.05,-14.21,2.62,b
37322,0.08,-0.13,-0.16,-0.98,-15.31,3.21,b
37326,0.05,-0.15,-0.17,-0.36,-16.59,1.53,b
37330,0.04,-0.16,-0.17,-0.20,-15.90,1.68,b
37335,0.04,-0.15,-0.16,-0.64,-14.86,3.28,b
37339,0.04,-0.15,-0.16,-1.29,-13.77,4.18,b
37343,0.04,-0.15,-0.16,-1.29,-13.06,4.45,b
37347,0.03,-0.15,-0.16,-1.59,-12.05,4.94,b
37350,0.02,-0.15,-0.16,-1.63,-10.40,5.15,b
37354,0.02,-0.16,-0.16,-1.55,-8.34,4.97,b
37358,0.02,-0.16,-0.16,-1.56,-5.87,5.04,b
37362,0.03,-0.16,-0.16,-1.19,-4.03,4.70,b
37366,0.04,-0.15,-0.16,-1.08,-2.66,4.53,b
37370,0.04,-0.15,-0.16,-1.12,-2.28,4.36,b
37374,0.05,-0.15,-0.17,-1.18,-2.71,4.04,b
37378,0.06,-0.15,-0.17,-1.19,-3.32,3.20,b
37382,0.06,-0.15,-0.17,-1.13,-3.74,2.77,b
37386,0.07,-0.15,-0.17,-1.20,-4.15,2.60,b
37390,0.08,-0.14,-0.17,-1.63,-4.59,3.67,b
37394,0.10,-0.13,-0.16,-2.21,-5.41,5.44,b
37398,0.10,-0.13,-0.17,-2.43,-7.32,6.08,b
37402,0.08,-0.13,-0.17,-2.35,-9.06,5.63,b
37405,0.06,-0.14,-0.17,-2.47,-9.36,5.94,b
37409,0.05,-0.15,-0.16,-2.28,-8.64,6.54,b
37413,0.04,-0.15,-0.16,-1.99,-6.94,6.50,b
37417,0.03,-0.16,-0.16,-1.51,-4.86,6.67,b
37422,0.03,-0.16,-0.16,-1.17,-2.96,6.68,b
37426,0.03,-0.16,-0.16,-0.93,-0.88,7.10,b
37430,0.03,-0.16,-0.16,-0.68,0.92,7.57,b
37433,0.03,-0.15,-0.16,-0.50,2.86,7.92,b
37437,0.03,-0.15,-0.16,-0.30,4.73,8.07,b
37441,0.03,-0.15,-0.15,-0.16,6.90,8.17,b
37445,0.03,-0.15,-0.15,-0.06,9.03,8.18,b
37449,0.04,-0.15,-0.15,0.01,10.86,8.10,b
37453,0.05,-0.15,-0.15,-0.07,12.18,7.78,b
37456,0.06,-0.15,-0.15,-0.24,12.98,7.15,b
37460,0.06,-0.15,-0.15,-0.43,13.63,6.34,b
